,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,FTR,B365D,B365A,Score,Round,Home_Id,Away_Id
2660,27/04/2019,Sao Paulo,Botafogo RJ,2.0,0.0,H,1.78,3.39,5.61,1.0,0.0,2,13
2661,27/04/2019,Atletico-MG,Avai,2.0,1.0,H,1.56,4.09,6.46,0.5,0.0,5,15
2662,27/04/2019,Chapecoense-SC,Internacional,2.0,0.0,H,3.02,3.03,2.71,1.0,0.0,17,7
2663,28/04/2019,Flamengo RJ,Cruzeiro,3.0,1.0,H,2.32,3.2,3.47,1.0,0.0,12,14
2664,28/04/2019,Gremio,Santos,1.0,2.0,A,1.71,3.58,5.78,-0.5,0.0,6,1
2665,28/04/2019,Athletico-PR,Vasco,4.0,1.0,H,1.48,4.1,8.19,1.5,0.0,0,11
2666,28/04/2019,Bahia,Corinthians,3.0,2.0,H,2.28,3.14,3.63,0.5,0.0,3,16
2667,28/04/2019,Ceara,CSA,4.0,0.0,H,1.88,3.41,4.81,2.0,0.0,4,18
2668,28/04/2019,Fluminense,Goias,0.0,1.0,A,1.77,3.68,5.02,-0.5,0.0,19,9
2669,28/04/2019,Palmeiras,Fortaleza,4.0,0.0,H,1.36,4.98,9.4,2.0,0.0,10,8
2670,01/05/2019,Corinthians,Chapecoense-SC,1.0,0.0,H,1.66,3.3,7.5,0.5,0.0,16,17
2671,01/05/2019,CSA,Palmeiras,1.0,1.0,D,7.04,3.93,1.56,0.0,0.0,18,10
2672,01/05/2019,Internacional,Flamengo RJ,2.0,1.0,H,2.44,3.1,3.34,0.5,0.0,7,12
2673,01/05/2019,Avai,Gremio,1.0,1.0,D,3.88,3.16,2.18,0.0,0.0,15,6
2674,01/05/2019,Cruzeiro,Ceara,1.0,0.0,H,1.52,3.71,8.93,0.5,0.0,14,4
2675,02/05/2019,Fortaleza,Athletico-PR,2.0,1.0,H,3.6,3.27,2.23,0.5,0.0,8,0
2676,02/05/2019,Goias,Sao Paulo,1.0,2.0,A,3.1,3.04,2.63,-0.5,0.0,9,2
2677,02/05/2019,Vasco,Atletico-MG,1.0,2.0,A,3.27,3.3,2.37,-0.5,0.0,11,5
2678,02/05/2019,Santos,Fluminense,2.0,1.0,H,1.65,3.73,6.13,0.5,0.0,1,19
2679,03/05/2019,Botafogo RJ,Bahia,3.0,2.0,H,2.36,3.06,3.57,0.5,0.0,13,3
2680,04/05/2019,Palmeiras,Internacional,1.0,0.0,H,1.61,3.81,6.5,0.5,0.0,10,7
